Link Product Page,title,ID,Stars out of 5,Reviewer Count
https://www.amazon.ae/Necklace-Necklaces-Aesthetic-Accessories-Friendship/dp/B0B9FXB18C/ref=sr_1_11?qid=1686556425&s=fashion&sr=1-11,My Melody And Kuromi Necklace Bff Necklace For 2 Cute Necklaces Aesthetic Pendant Accessories Kawaii Friendship Bestie Best Friend Gift For Teen Girls,11,5,4
https://www.amazon.ae/Necklace-Bracelet-Deathly-Inspired-Collections/dp/B07VMYTMZM/ref=sr_1_12?qid=1686556425&s=fashion&sr=1-12,4 Piece Harry Potter Necklace Bracelet with The Deathly Hallows Golden Snitch Time Turner Chain Pendant Necklace for Harry Inspired Fans Gifts Collections,12,4.1,75
https://www.amazon.ae/Genseion-Bracelets-Earrings-Necklace-Titanium/dp/B0B8QS27MD/ref=sr_1_13?qid=1686556425&s=fashion&sr=1-13,"Genseion Cute Simple 18k Gold Plated Lucky Clover Sets Bracelets Earrings Necklace Pendant for Women, Titanium steel, No Gemstone",13,2.7,6
https://www.amazon.ae/Genseion-Bracelets-Necklace-Titanium-Gemstone/dp/B0B8QTLZ2T/ref=sr_1_14?qid=1686556425&s=fashion&sr=1-14,18k Gold Plated Lucky Clover Sets Bracelets Earring Necklace Pendant for Women Cute Simple Fashion Jewelry Womens Girls Gift,14,2.9,9
https://www.amazon.ae/Big-Little-Sister-Friendship-Necklace/dp/B07M7Y1R96/ref=sr_1_15?qid=1686556425&s=fashion&sr=1-15,Big and Little Sister Friendship Necklace Set of 2 Pcs - Best Friend Gift Necklace,15,4,43
https://www.amazon.ae/Crystals-Swarovski-Classic-Designer-Earrings/dp/B07WYM2WCZ/ref=sr_1_16?qid=1686556425&s=fashion&sr=1-16,Yellow Chimes Women's Crystals from Swarovski Classic Designer Plated Base Metal Stylish Hoop Earrings,16,3.8,"7,022"
https://www.amazon.ae/Goody-1942512-Classics-Small-Multi-Colour/dp/B003YOVCLU/ref=sr_1_17?qid=1686556425&s=fashion&sr=1-17,"Goody 1942512 Classics Small Half Claw Clip, Multi-Colour ' 12 Units",17,4.3,680
https://www.amazon.ae/Beautiful-Classic-Oxidized-Finishing-Piercing/dp/B0837NCX9N/ref=sr_1_18?qid=1686556425&s=fashion&sr=1-18,Yellow Chimes Beautiful Classic Designs 7 Pcs Combo Silver Oxidized Finishing Without Piercing Nose Pins for Women &amp; Girls,18,4,"1,115"
https://www.amazon.ae/ROSENICE-Necklace-Adjustable-Heart-Shaped-Accessories/dp/B07YXVXBCV/ref=sr_1_19?qid=1686556425&s=fashion&sr=1-19,ROSENICE Leather Collar Necklace Adjustable Stylish Female Binding Clavicle Heart-Shaped Gothic Chain Choker Accessories (Black),19,3.8,29
https://www.amazon.ae/Crystal-Necklaces-Necklace-Hexagonal-Gemstone/dp/B09Y2RXRGD/ref=sr_1_20?qid=1686556425&s=fashion&sr=1-20,"3 Pieces Crystal Necklaces, Quartz Pendant Energy Healing Crystal Necklace Natural Hexagonal Gemstone Pendant for Women Girls",20,4,12
