Link Product Page,title,ID,   Current Price   ,Discount Percentage,   Price Before Discount   
https://www.amazon.ae/Swarovski-Rose-gold-Pierced-Earrings-5299317/dp/B07357MVSC/ref=sr_1_93?qid=1686556435&s=fashion&sr=1-93,"Swarovski Bella Drop Pierced Earrings, with Grey Crystals, Rose-Gold Tone Plated Setting and Clear Crystal Pavé, a Part of the Bella Collection",107, AED 43.20 ,-15%, AED 225.06 
https://www.amazon.ae/Stainless-Earrings-Hypoallergenic-Huggie-Silver/dp/B0B93RLTQ3/ref=sr_1_94?qid=1686556435&s=fashion&sr=1-94,4 Pairs Stainless Steel Small Hoop Earrings Clasp Hypoallergenic Huggie Earrings 6/8/10/12mm 316L Small Hoop Earrings or Men Women,108, AED 43.20 ,-12%, AED 21.65 
https://www.amazon.ae/Beautiful-Clearance-Sale-Sterling-Rhinestones/dp/B07S94SHX9/ref=sr_1_95?qid=1686556435&s=fashion&sr=1-95,Beautiful Clearance Sale Sterling Silver Rhinestones Hoop Diamond Stud Earrings for Women,109, AED 43.20 ,No discount, AED 29.00 
https://www.amazon.ae/SAILIMUE-Hypoallergenic-Stainless-Butterfly-Screwback/dp/B0BBSKM3HW/ref=sr_1_96?qid=1686556435&s=fashion&sr=1-96,SAILIMUE 10 Pairs Hypoallergenic Screw Back Earrings for Women Girls 316L Stainless Steel Heart CZ Flower Butterfly Screwback Stud Earring Cute Hoop Earring Set,110, AED 43.20 ,No discount, AED 69.99 
https://www.amazon.ae/REVHQ-Bracelet-Fashion-Elegant-Bracelet/dp/B0BLZ4PTBT/ref=sr_1_97?qid=1686556435&s=fashion&sr=1-97,REVHQ Hetian Jade Gold Leaf Bracelet- Fashion Elegant Feng Shui Bracelet for Women Lucky Bracelet,111, AED 43.20 ,-17%, AED 24.34 
https://www.amazon.ae/Stylish-Bohemian-Multicolour-Multilayer-Bracelet/dp/B0791BF9WL/ref=sr_1_98?qid=1686556435&s=fashion&sr=1-98,Yellow Chimes Stylish Bohemian Natural Stones Multicolour Beades Multilayer Bracelet for Women and Girls (Design 1),112, AED 43.20 ,-25%, AED 15.41 
https://www.amazon.ae/YouBella-Necklace-Jewellery-Multi-colour-YBNK_5659/dp/B07W3MBJBM/ref=sr_1_99?qid=1686556435&s=fashion&sr=1-99,YouBella Stylish Latest Design Necklace Jewellery Set Plated Jewellery Set for Women,113, AED 43.20 ,-14%, AED 23.30 
https://www.amazon.ae/Shining-Diva-Fashion-Multilayer-10695b/dp/B07RWK1SFQ/ref=sr_1_100?qid=1686556435&s=fashion&sr=1-100,Shining Diva Fashion Latest Stylish Crystal Multilayer 3-5 pcs Set Charm Bracelets for Women and Girls,114, AED 43.20 ,-25%, AED 14.23 
https://www.amazon.ae/Zaveri-Pearls-Contemporary-Strand-ZPFK9522/dp/B08F3DFCR8/ref=sr_1_101?qid=1686556435&s=fashion&sr=1-101,Zaveri Pearls Contemporary Multi Strand For Women (Golden) (ZPFK9522),115, AED 43.20 ,No discount, AED 24.00 
https://www.amazon.ae/Hermione-Hourglass-Pendant-Necklace-item_name/dp/B07NVQ5RM5/ref=sr_1_102?qid=1686556435&s=fashion&sr=1-102,SKEIDO Harry Potter Hermione Time Turner Hourglass Golden Pendant Necklace item_name,116, AED 43.20 ,-5%, AED 18.99 
